assetid,assetname,classofasset,schemename,schemecode,sanctiondate,wage,Total Material,semiskilled,skilled,material,contingency,total,mandays
32004043526,PMAY Housing,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2556560,3201009008/IF/IAY/2126723,21-02-2018,17190,0,0,0,0,0  ,17190,
32003611366,Farm Pond,Check Dam,Excavation of farm pond on the land of Chintaharan Biswas at Uttar Hatishala,3201009008/WC/704010337784,20-11-2017,83090,7400,0,5400,2000,0  ,90490,
32004043593,PMAY Housing,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3769592,3201009008/IF/IAY/2351660,21-02-2018,17190,0,0,0,0,0  ,17190,
32004043596,PMAY Housing,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3766376,3201009008/IF/IAY/2351649,21-02-2018,17190,0,0,0,0,0  ,17190,
32004043599,PMAY Housing,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3753946,3201009008/IF/IAY/2351644,21-02-2018,17190,0,0,0,0,0  ,17190,
32004043609,PMAY Housing,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3620870,3201009008/IF/IAY/2351152,21-02-2018,17190,0,0,0,0,0  ,17190,
32004043629,PMAY Housing,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2089924,3201009008/IF/IAY/2349737,21-02-2018,17190,0,0,0,0,0  ,17190,
32004043586,PMAY Housing,Houses (State Scheme),Construction of Gitanjali house of Pranab Mondal,3201009008/IF/22012034600602,06-02-2018,16044,0,0,0,0,0  ,16044,
32004043622,PMAY Housing,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2712595,3201009008/IF/IAY/2350807,21-02-2018,17190,0,0,0,0,0  ,17190,
32004043637,PMAY Housing,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB1934965,3201009008/IF/IAY/2349514,21-02-2018,16044,0,0,0,0,0  ,16044,
32004043645,PMAY Housing,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB1767531,3201009008/IF/IAY/2349211,21-02-2018,17190,0,0,0,0,0  ,17190,
32004043661,PMAY Housing,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2741908,3201009008/IF/IAY/2298530,21-02-2018,17190,0,0,0,0,0  ,17190,
32004043654,PMAY Housing,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB1680065,3201009008/IF/IAY/2348657,21-02-2018,17190,0,0,0,0,0  ,17190,
32004043664,PMAY Housing,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2714327,3201009008/IF/IAY/2298174,21-02-2018,17190,0,0,0,0,0  ,17190,
32004043670,PMAY Housing,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3803838,3201009008/IF/IAY/2131812,21-02-2018,17190,0,0,0,0,0  ,17190,
32004043673,PMAY Housing,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB1916108,3201009008/IF/IAY/2129918,21-02-2018,17190,0,0,0,0,0  ,17190,
32004043618,PMAY Housing,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2909693,3201009008/IF/IAY/2350974,21-02-2018,17190,0,0,0,0,0  ,17190,
32004043578,PMAY Housing,Houses (State Scheme),Construction of Gitanjali house of Niranjan Pramanik,3201009008/IF/22012034600601,06-02-2018,17190,0,0,0,0,0  ,17190,
32004043685,PMAY Housing,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3418685,3201009008/IF/IAY/2121150,21-02-2018,14707,0,0,0,0,0  ,14707,
32004043633,PMAY Housing,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2000113,3201009008/IF/IAY/2349591,21-02-2018,17190,0,0,0,0,0  ,17190,
32004043679,PMAY Housing,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3770162,3201009008/IF/IAY/2123259,21-02-2018,17190,0,0,0,0,0  ,17190,
